,Subject,Start Date,Start Time,End Date,End Time,All Day Event
0,Grêmio vs Athletico-PR,24/08/2019,17:00,24/08/2019,19:00,False
1,Athletico-PR vs Ceará,31/08/2019,19:00,31/08/2019,21:00,False
2,Athletico-PR vs Grêmio,04/09/2019,19:00,04/09/2019,21:00,False
3,Santos vs Athletico-PR,08/09/2019,16:00,08/09/2019,18:00,False
4,Athletico-PR vs Avaí,15/09/2019,16:00,15/09/2019,18:00,False
5,Vasco vs Athletico-PR,22/09/2019,16:00,22/09/2019,18:00,False
6,Athletico-PR vs Fortaleza,25/09/2019,17:00,25/09/2019,19:00,False
7,Athletico-PR vs Chapecoense,29/09/2019,17:00,29/09/2019,19:00,False
8,Bahia vs Athletico-PR,06/10/2019,17:00,06/10/2019,19:00,False
9,Corinthians vs Athletico-PR,09/10/2019,17:00,09/10/2019,19:00,False
10,Athletico-PR vs Flamengo,13/10/2019,17:00,13/10/2019,19:00,False
11,Fluminense vs Athletico-PR,16/10/2019,17:00,16/10/2019,19:00,False
12,Athletico-PR vs Palmeiras,20/10/2019,17:00,20/10/2019,19:00,False
13,Athletico-PR vs Goias,27/10/2019,18:00,27/10/2019,20:00,False
14,Internacional vs Athletico-PR,30/10/2019,18:00,30/10/2019,20:00,False
15,Athletico-PR vs CSA,03/11/2019,19:00,03/11/2019,21:00,False
16,Athletico-PR vs Cruzeiro,06/11/2019,19:00,06/11/2019,21:00,False
17,São Paulo vs Athletico-PR,10/11/2019,19:00,10/11/2019,21:00,False
18,Athletico-PR vs Botafogo,17/11/2019,19:00,17/11/2019,21:00,False
19,Atlético-MG vs Athletico-PR,24/11/2019,19:00,24/11/2019,21:00,False
20,Athletico-PR vs Grêmio,27/11/2019,19:00,27/11/2019,21:00,False
21,Ceará vs Athletico-PR,01/12/2019,19:00,01/12/2019,21:00,False
22,Athletico-PR vs Santos,04/12/2019,19:00,04/12/2019,21:00,False
23,Avaí vs Athletico-PR,08/12/2019,19:00,08/12/2019,21:00,False
