,Subject,Start Date,Start Time,End Date,End Time,All Day Event
0,Bragantino  vs Coritiba,22/08/2019,21:30,22/08/2019,23:00,False
1,Coritiba vs Vitória,27/08/2019,19:15,27/08/2019,21:00,False
2,Ponte Preta vs Coritiba,31/08/2019,16:30,31/08/2019,18:00,False
3,Coritiba vs Atlético-GO,08/09/2019,11:00,08/09/2019,13:00,False
4,Londrina vs Coritiba,14/09/2019,11:00,14/09/2019,13:00,False
5,Coritiba vs CRB,21/09/2019,19:00,21/09/2019,21:00,False
6,Cuiabá Esporte vs Coritiba,24/09/2019,21:30,24/09/2019,23:00,False
7,Coritiba vs América-MG,28/09/2019,17:00,28/09/2019,19:00,False
8,Paraná vs Coritiba,05/10/2019,17:00,05/10/2019,19:00,False
9,Coritiba vs Guarani,08/10/2019,17:00,08/10/2019,19:00,False
10,Coritiba vs Criciúma,12/10/2019,17:00,12/10/2019,19:00,False
11,São Bento vs Coritiba,15/10/2019,17:00,15/10/2019,19:00,False
12,Vila Nova vs Coritiba,19/10/2019,17:00,19/10/2019,19:00,False
13,Coritiba vs Operario,26/10/2019,17:00,26/10/2019,19:00,False
14,Botafogo SP vs Coritiba,02/11/2019,18:00,02/11/2019,20:00,False
15,Coritiba vs Sport Recife,05/11/2019,19:00,05/11/2019,21:00,False
16,Figueirense vs Coritiba,09/11/2019,19:00,09/11/2019,21:00,False
17,Brasil de Pelotas vs Coritiba,12/11/2019,19:00,12/11/2019,21:00,False
18,Coritiba vs Oeste,16/11/2019,19:00,16/11/2019,21:00,False
19,Coritiba vs Bragantino,23/11/2019,19:00,23/11/2019,21:00,False
20,Vitória vs Coritiba,30/11/2019,19:00,30/11/2019,21:00,False
