,Subject,Start Date,Start Time,End Date,End Time,All Day Event
0,Fluminense (Bra) vs Corinthians (Bra),29/08/2019,21:30,29/08/2019,23:00,False
1,Fluminense vs Avaí,02/09/2019,20:00,02/09/2019,22:00,False
2,Fortaleza vs Fluminense,07/09/2019,17:00,07/09/2019,19:00,False
3,Palmeiras vs Fluminense,10/09/2019,21:00,10/09/2019,23:00,False
4,Fluminense vs Corinthians,15/09/2019,16:00,15/09/2019,18:00,False
5,Goias vs Fluminense,23/09/2019,20:00,23/09/2019,22:00,False
6,Fluminense vs Santos,25/09/2019,17:00,25/09/2019,19:00,False
7,Fluminense vs Grêmio,29/09/2019,17:00,29/09/2019,19:00,False
8,Botafogo vs Fluminense,06/10/2019,17:00,06/10/2019,19:00,False
9,Cruzeiro vs Fluminense,09/10/2019,17:00,09/10/2019,19:00,False
10,Fluminense vs Bahia,13/10/2019,17:00,13/10/2019,19:00,False
11,Fluminense vs Athletico-PR,16/10/2019,17:00,16/10/2019,19:00,False
12,Flamengo vs Fluminense,20/10/2019,17:00,20/10/2019,19:00,False
13,Fluminense vs Chapecoense,27/10/2019,18:00,27/10/2019,20:00,False
14,Ceará vs Fluminense,30/10/2019,18:00,30/10/2019,20:00,False
15,Fluminense vs Vasco,03/11/2019,19:00,03/11/2019,21:00,False
16,São Paulo vs Fluminense,06/11/2019,19:00,06/11/2019,21:00,False
17,Internacional vs Fluminense,10/11/2019,19:00,10/11/2019,21:00,False
18,Fluminense vs Atlético-MG,17/11/2019,19:00,17/11/2019,21:00,False
19,CSA vs Fluminense,24/11/2019,19:00,24/11/2019,21:00,False
20,Fluminense vs Palmeiras,27/11/2019,19:00,27/11/2019,21:00,False
21,Avaí vs Fluminense,01/12/2019,19:00,01/12/2019,21:00,False
22,Fluminense vs Fortaleza,04/12/2019,19:00,04/12/2019,21:00,False
23,Corinthians vs Fluminense,08/12/2019,19:00,08/12/2019,21:00,False
