,Subject,Start Date,Start Time,End Date,End Time,All Day Event
0,Paraná vs Criciúma,24/08/2019,11:00,24/08/2019,13:00,False
1,Botafogo SP vs Paraná,27/08/2019,19:15,27/08/2019,21:00,False
2,Paraná vs Vila Nova,30/08/2019,19:15,30/08/2019,21:00,False
3,CRB vs Paraná,05/09/2019,19:15,05/09/2019,21:00,False
4,Paraná vs Cuiabá Esporte,14/09/2019,19:00,14/09/2019,21:00,False
5,Guarani vs Paraná,21/09/2019,11:00,21/09/2019,13:00,False
6,Paraná vs Ponte Preta,24/09/2019,19:15,24/09/2019,21:00,False
7,Oeste vs Paraná,28/09/2019,17:00,28/09/2019,19:00,False
8,Paraná vs Coritiba,05/10/2019,17:00,05/10/2019,19:00,False
9,Operario vs Paraná,08/10/2019,17:00,08/10/2019,19:00,False
10,Bragantino vs Paraná,12/10/2019,17:00,12/10/2019,19:00,False
11,Paraná vs Brasil de Pelotas,15/10/2019,17:00,15/10/2019,19:00,False
12,Paraná vs Figueirense,19/10/2019,17:00,19/10/2019,19:00,False
13,Sport Recife vs Paraná,26/10/2019,17:00,26/10/2019,19:00,False
14,Paraná vs Londrina,02/11/2019,18:00,02/11/2019,20:00,False
15,América-MG vs Paraná,05/11/2019,19:00,05/11/2019,21:00,False
16,Paraná vs Vitória,09/11/2019,19:00,09/11/2019,21:00,False
17,Paraná vs São Bento,12/11/2019,19:00,12/11/2019,21:00,False
18,Atlético-GO vs Paraná,16/11/2019,19:00,16/11/2019,21:00,False
19,Criciúma vs Paraná,23/11/2019,19:00,23/11/2019,21:00,False
20,Paraná vs Botafogo SP,30/11/2019,19:00,30/11/2019,21:00,False
